City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,tarakan,3.3,117.6333,298.66,85,99,2.22,ID,1676765711
350,anadyr,64.75,177.4833,251.48,69,0,2.0,RU,1676765715
351,sao jose de piranhas,-7.1206,-38.5019,296.54,73,47,2.05,BR,1676765718
352,kaitangata,-46.2817,169.8464,294.85,49,96,2.46,NZ,1676765718
353,santa cruz del sur,20.7147,-77.9956,299.21,58,0,7.15,CU,1676765719
354,souillac,-20.5167,57.5167,299.36,89,75,5.14,MU,1676765719
355,metro,-5.1131,105.3067,296.93,93,100,2.0,ID,1676765729
356,jonuta,18.0833,-92.1333,295.67,91,29,3.67,MX,1676765732
357,port hedland,-20.3167,118.5667,304.18,79,75,3.09,AU,1676765732
358,ayagoz,47.9714,80.4392,266.95,95,100,5.61,KZ,1676765733
359,vazhiny,60.9644,34.0222,267.0,84,79,5.23,RU,1676765733
360,inegol,40.0781,29.5133,277.75,76,61,3.33,TR,1676765734
361,mananjary,-21.2167,48.3333,297.2,87,100,2.48,MG,1676765734
362,brae,60.3964,-1.353,279.13,76,100,9.17,GB,1676765736
363,saint anthony,45.0205,-93.218,275.21,78,0,3.09,US,1676765739
